url,onContentLoad,onLoad,cumCacheTransferSize,cumTransferSize,cacheTransferSize,_transferSize,cumCacheCount,cumPageEntries,cacheCount,pageEntries,cacheability,cacheOverTotal
https://roblox.com/,994.2859999984503,1286.2520000040531,0,2021007,0,2021007,0,108,0,108,0.0,0.0
https://gmx.net/,10068.3939999789,10475.840999990702,1681273,1171775,1681273,1171775,22,123,22,123,1.4348087303449895,0.5892901206008452
https://patch.com/,373.5590000003576,478.1799999922514,0,1133102,0,1133102,0,70,0,70,0.0,0.0
https://w3school.com.cn/,2368.262999996543,2578.102999985218,20403,197385,20403,197385,1,21,1,21,0.10336651721255415,0.09368284753980935
https://xero.com/,1075.024000003934,2384.021999999881,35808,3256555,35808,3256555,2,97,2,97,0.010995668735826664,0.010876078974280782
https://legit.ng/,1566.2700000107288,2273.6410000026226,20403,1602781,20403,1602781,1,304,1,304,0.012729749104837155,0.012569739475007146
https://faradars.org/,5433.093999996781,10811.151000007987,20403,2937003,20403,2937003,1,164,1,164,0.006946877480206864,0.0068989513107094525
https://jkforum.net/,1389.4560000002384,2525.0680000036955,202800,16692443,202800,16692443,5,156,5,156,0.01214921027437386,0.012003378702514075
https://ali213.net/,12477.191000014544,18317.327000007033,0,4586678,0,4586678,0,144,0,144,0.0,0.0
https://canadiantire.ca/,310.7740000039339,304.6979999989271,0,2114,0,2114,0,2,0,2,0.0,0.0
https://weather.gov/,350.3060000091791,1224.3640000224113,0,939091,0,939091,0,56,0,56,0.0,0.0
https://fao.org/,896.7960000038147,1884.8680000007153,87481,9960325,87481,9960325,5,210,5,210,0.008782946339602372,0.008706477812171135
https://coolors.co/,712.4750000089407,748.272000014782,20403,2419205,20403,2419205,1,48,1,48,0.0084337623310137,0.008363228846601586
https://easyhindityping.com/,483.0789999961853,483.3509999960661,251686,1796219,251686,1796219,23,224,23,224,0.1401198851587696,0.1228992555807032
https://easyhits4u.com/,1038.3969999998808,1679.699999988079,349213,2549517,349213,2549517,5,64,5,64,0.13697221865945589,0.12047103386655536
https://espn.com.mx/,1116.261000007391,2066.252000004053,412269,4287529,412269,4287529,10,249,10,249,0.09615538460497877,0.08772057862912407
https://techsmith.com/,493.0020000040531,1436.9799999892712,77790,1943746,77790,1943746,4,120,4,120,0.04002066113576568,0.038480640463489146
https://worldofwarcraft.com/,491.6810000091791,1452.9539999961853,142012,4421578,142012,4421578,8,112,8,112,0.03211794522227133,0.031118483474632908
https://blackmagicdesign.com/,810.3809999972582,5460.095999985933,35322,4072230,35322,4072230,2,94,2,94,0.008673871564228936,0.008599282492345806
https://dnaindia.com/,1719.3519999980927,4183.45000000298,728001,3357187,728001,3357187,24,507,24,507,0.21684851037490613,0.17820501773724978
https://job592.com/,3837.9229999929667,5259.170000001788,0,382404,0,382404,0,21,0,21,0.0,0.0
https://akhbarona.com/,746.2469999939203,1343.8840000033379,777669,5183874,777669,5183874,43,395,43,395,0.150016956430654,0.13044760391730797
https://nhk.jp/,1743.4200000166893,4055.3270000070333,0,3434234,0,3434234,0,80,0,80,0.0,0.0
https://juspay.in/,195.45800000429153,249.61900001764297,29511,1571099,29511,1571099,10,89,10,89,0.01878366671992026,0.018437345761928264
https://galatta.com/,957.9439999908209,7079.482000008225,5122738,11742079,5122738,11742079,385,998,385,998,0.43627180501851504,0.3037529550424413
https://utexas.edu/,358.363999992609,1927.4949999898672,20403,2760262,20403,2760262,1,68,1,68,0.00739168962946271,0.007337453450883152
https://fanpage.it/,481.86500000953674,1714.959000006318,452259,1763580,452259,1763580,12,204,12,204,0.25644371108767394,0.20410282516013123
https://oldharper.xyz/,722.5980000048876,722.4270000010729,0,21534,0,21534,0,3,0,3,0.0,0.0
https://sushi.com/,276.29199999570847,410.15800000727177,0,2059993,0,2059993,0,28,0,28,0.0,0.0
https://im.center/,414.4979999959469,494.1359999924898,0,701014,0,701014,0,14,0,14,0.0,0.0
https://ucsd.edu/,1170.0400000065565,1570.0189999938011,46740,6654952,46740,6654952,2,63,2,63,0.0070233414155353785,0.0069743581173232075
https://mangarockteam.com/,1274.7660000026226,1285.2710000127554,20403,544468,20403,544468,1,50,1,50,0.03747327666639729,0.03611975123523778
https://aragontelevision.es/,1522.6200000047684,3366.5209999978542,270121,8489629,270121,8489629,18,173,18,173,0.03181776259009669,0.03083661063386512
https://clustrmaps.com/,886.6939999908209,970.7009999901056,20403,2488269,20403,2488269,1,81,1,81,0.008199676160415132,0.00813298829021889
https://tunisia-sat.com/,1262.218000009656,1305.4780000001192,0,920417,0,920417,0,53,0,53,0.0,0.0
https://rawpixel.com/,240.27000001072884,439.49000000953674,972,2212470,972,2212470,1,72,1,72,0.00043932799088801204,0.00043913506656149113
https://dudasbecasmec.com/,2413.1290000081062,2857.5569999963045,268396,1429624,268396,1429624,8,112,8,112,0.18773887399763853,0.15806409818494482
https://boston.com/,412.7339999973774,899.2869999855757,601147,2775345,601147,2775345,28,340,28,340,0.21660262057509969,0.17803892323749027
https://msnbc.com/,2310.280000001192,3035.867999985814,473175,4477080,473175,4477080,16,337,16,337,0.10568830577072556,0.09558598496441092
https://china.com/,8862.559000000358,10799.341000005603,202889,7134220,202889,7134220,7,138,7,138,0.02843884825531032,0.02765244458001101
https://hometax.go.kr/,7850.383000001311,7850.1220000088215,1847,1710132,1847,1710132,3,102,3,102,0.001080033588050513,0.0010788683739695404
https://edraak.org/,1259.0909999907017,1588.6209999918938,235686,3682757,235686,3682757,5,85,5,85,0.06399716299500618,0.0601478699575316
https://dns.la/,13180.922000005841,25991.730000004172,0,846002,0,846002,0,58,0,58,0.0,0.0
